ЭКСПОРТ ДАННЫХ ГОЛОСОВАНИЯ
Дата экспорта: 07.10.2025 23:08:12

ПОЛЬЗОВАТЕЛИ
ID,ФИО,Курс,Проголосовал,Время голоса,Дата регистрации
1000105,Тестовый Пользователь 105,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000106,Тестовый Пользователь 106,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000107,Тестовый Пользователь 107,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000108,Тестовый Пользователь 108,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000109,Тестовый Пользователь 109,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000110,Тестовый Пользователь 110,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000111,Тестовый Пользователь 111,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000112,Тестовый Пользователь 112,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000113,Тестовый Пользователь 113,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000114,Тестовый Пользователь 114,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000115,Тестовый Пользователь 115,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000116,Тестовый Пользователь 116,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000117,Тестовый Пользователь 117,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000118,Тестовый Пользователь 118,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000119,Тестовый Пользователь 119,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000120,Тестовый Пользователь 120,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000121,Тестовый Пользователь 121,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000122,Тестовый Пользователь 122,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000123,Тестовый Пользователь 123,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000124,Тестовый Пользователь 124,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000125,Тестовый Пользователь 125,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000126,Тестовый Пользователь 126,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000127,Тестовый Пользователь 127,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000128,Тестовый Пользователь 128,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000129,Тестовый Пользователь 129,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000130,Тестовый Пользователь 130,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000131,Тестовый Пользователь 131,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000132,Тестовый Пользователь 132,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000133,Тестовый Пользователь 133,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000134,Тестовый Пользователь 134,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000135,Тестовый Пользователь 135,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000136,Тестовый Пользователь 136,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000137,Тестовый Пользователь 137,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000138,Тестовый Пользователь 138,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000139,Тестовый Пользователь 139,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000140,Тестовый Пользователь 140,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000141,Тестовый Пользователь 141,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000142,Тестовый Пользователь 142,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000143,Тестовый Пользователь 143,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000144,Тестовый Пользователь 144,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000145,Тестовый Пользователь 145,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000146,Тестовый Пользователь 146,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000147,Тестовый Пользователь 147,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000148,Тестовый Пользователь 148,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000149,Тестовый Пользователь 149,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000150,Тестовый Пользователь 150,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000151,Тестовый Пользователь 151,5,1,2025-10-07 20:08:08,2025-10-07 20:08:05
1000152,Тестовый Пользователь 152,2,1,2025-10-07 20:08:08,2025-10-07 20:08:05
1000153,Тестовый Пользователь 153,1,1,2025-10-07 20:08:08,2025-10-07 20:08:05
1000154,Тестовый Пользователь 154,5,1,2025-10-07 20:08:08,2025-10-07 20:08:05
1000155,Тестовый Пользователь 155,5,1,2025-10-07 20:08:08,2025-10-07 20:08:05
1000156,Тестовый Пользователь 156,2,1,2025-10-07 20:08:08,2025-10-07 20:08:05
1000157,Тестовый Пользователь 157,1,1,2025-10-07 20:08:08,2025-10-07 20:08:05
1000158,Тестовый Пользователь 158,5,1,2025-10-07 20:08:08,2025-10-07 20:08:05
1000159,Тестовый Пользователь 159,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000160,Тестовый Пользователь 160,3,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000161,Тестовый Пользователь 161,3,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000162,Тестовый Пользователь 162,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000163,Тестовый Пользователь 163,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000164,Тестовый Пользователь 164,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000165,Тестовый Пользователь 165,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000166,Тестовый Пользователь 166,3,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000167,Тестовый Пользователь 167,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000168,Тестовый Пользователь 168,2,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000169,Тестовый Пользователь 169,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000170,Тестовый Пользователь 170,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000171,Тестовый Пользователь 171,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000172,Тестовый Пользователь 172,2,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000173,Тестовый Пользователь 173,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000174,Тестовый Пользователь 174,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000175,Тестовый Пользователь 175,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000176,Тестовый Пользователь 176,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000177,Тестовый Пользователь 177,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000178,Тестовый Пользователь 178,2,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000179,Тестовый Пользователь 179,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000180,Тестовый Пользователь 180,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000181,Тестовый Пользователь 181,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000182,Тестовый Пользователь 182,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000183,Тестовый Пользователь 183,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000184,Тестовый Пользователь 184,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000185,Тестовый Пользователь 185,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000186,Тестовый Пользователь 186,3,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000187,Тестовый Пользователь 187,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000188,Тестовый Пользователь 188,2,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000189,Тестовый Пользователь 189,3,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000190,Тестовый Пользователь 190,3,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000191,Тестовый Пользователь 191,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000192,Тестовый Пользователь 192,3,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000193,Тестовый Пользователь 193,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000194,Тестовый Пользователь 194,3,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000195,Тестовый Пользователь 195,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000196,Тестовый Пользователь 196,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000197,Тестовый Пользователь 197,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000198,Тестовый Пользователь 198,3,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000199,Тестовый Пользователь 199,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000200,Тестовый Пользователь 200,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000201,Тестовый Пользователь 201,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000202,Тестовый Пользователь 202,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000203,Тестовый Пользователь 203,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000204,Тестовый Пользователь 204,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000205,Тестовый Пользователь 205,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000206,Тестовый Пользователь 206,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000207,Тестовый Пользователь 207,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000208,Тестовый Пользователь 208,2,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000209,Тестовый Пользователь 209,3,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000210,Тестовый Пользователь 210,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000211,Тестовый Пользователь 211,3,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000212,Тестовый Пользователь 212,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000213,Тестовый Пользователь 213,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000214,Тестовый Пользователь 214,2,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000215,Тестовый Пользователь 215,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000216,Тестовый Пользователь 216,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000217,Тестовый Пользователь 217,3,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000218,Тестовый Пользователь 218,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000219,Тестовый Пользователь 219,3,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000220,Тестовый Пользователь 220,2,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000221,Тестовый Пользователь 221,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000222,Тестовый Пользователь 222,2,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000223,Тестовый Пользователь 223,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000224,Тестовый Пользователь 224,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000225,Тестовый Пользователь 225,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000226,Тестовый Пользователь 226,3,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000227,Тестовый Пользователь 227,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000228,Тестовый Пользователь 228,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000229,Тестовый Пользователь 229,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000230,Тестовый Пользователь 230,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000231,Тестовый Пользователь 231,2,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000232,Тестовый Пользователь 232,2,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000233,Тестовый Пользователь 233,3,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000234,Тестовый Пользователь 234,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000235,Тестовый Пользователь 235,3,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000236,Тестовый Пользователь 236,2,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000237,Тестовый Пользователь 237,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000238,Тестовый Пользователь 238,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000239,Тестовый Пользователь 239,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000240,Тестовый Пользователь 240,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000241,Тестовый Пользователь 241,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000242,Тестовый Пользователь 242,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000243,Тестовый Пользователь 243,2,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000244,Тестовый Пользователь 244,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000245,Тестовый Пользователь 245,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000246,Тестовый Пользователь 246,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000247,Тестовый Пользователь 247,3,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000248,Тестовый Пользователь 248,2,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000249,Тестовый Пользователь 249,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000250,Тестовый Пользователь 250,2,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000251,Тестовый Пользователь 251,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000252,Тестовый Пользователь 252,3,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000253,Тестовый Пользователь 253,3,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000254,Тестовый Пользователь 254,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000255,Тестовый Пользователь 255,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000256,Тестовый Пользователь 256,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000257,Тестовый Пользователь 257,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000258,Тестовый Пользователь 258,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000259,Тестовый Пользователь 259,2,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000260,Тестовый Пользователь 260,2,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000261,Тестовый Пользователь 261,2,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000262,Тестовый Пользователь 262,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000263,Тестовый Пользователь 263,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000264,Тестовый Пользователь 264,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000265,Тестовый Пользователь 265,2,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000266,Тестовый Пользователь 266,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000267,Тестовый Пользователь 267,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000268,Тестовый Пользователь 268,2,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000269,Тестовый Пользователь 269,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000270,Тестовый Пользователь 270,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000271,Тестовый Пользователь 271,3,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000272,Тестовый Пользователь 272,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000273,Тестовый Пользователь 273,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000274,Тестовый Пользователь 274,2,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000275,Тестовый Пользователь 275,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000276,Тестовый Пользователь 276,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000277,Тестовый Пользователь 277,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000278,Тестовый Пользователь 278,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000279,Тестовый Пользователь 279,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000280,Тестовый Пользователь 280,3,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000281,Тестовый Пользователь 281,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000282,Тестовый Пользователь 282,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000283,Тестовый Пользователь 283,3,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000284,Тестовый Пользователь 284,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000285,Тестовый Пользователь 285,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000286,Тестовый Пользователь 286,3,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000287,Тестовый Пользователь 287,2,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000288,Тестовый Пользователь 288,4,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000289,Тестовый Пользователь 289,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000290,Тестовый Пользователь 290,1,1,2025-10-07 20:08:09,2025-10-07 20:08:05
1000291,Тестовый Пользователь 291,5,1,2025-10-07 20:08:09,2025-10-07 20:08:05
